Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Kai Havertz,7.0,FW,27-003,90,2,0,1,1,4,2,0,0,1,1,0,0,0,1,0,0,0,fed7cb61,c1e40422,a2c54ed9
Florian Wirtz,17.0,AM,23-042,90,0,1,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,e7fcf289,c1e40422,a2c54ed9
Jamal Musiala,10.0,AM,23-108,63,1,0,0,0,3,1,0,0,2,2,0,0,2,0,0,0,0,2c0558b8,c1e40422,a2c54ed9
Deniz Undav,26.0,"FW,MF",29-330,27,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,dd549382,c1e40422,a2c54ed9
Leroy Sané,19.0,AM,30-154,90,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,2b114be3,c1e40422,a2c54ed9
Aleksandar Pavlovic,5.0,DM,22-042,90,0,0,0,0,3,1,0,0,6,1,0,0,3,0,0,0,0,2658c82f,c1e40422,a2c54ed9
Felix Nmecha,23.0,DM,25-247,72,1,0,0,0,4,3,0,0,1,1,0,0,2,0,0,0,0,091c86e2,c1e40422,a2c54ed9
Leon Goretzka,8.0,MF,31-128,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,cc86b9a3,c1e40422,a2c54ed9
Nathaniel Brown,18.0,LB,22-363,72,1,1,0,0,2,1,0,0,2,0,0,5,1,1,0,0,0,abc79c47,c1e40422,a2c54ed9
David Raum,22.0,"DF,MF",28-053,18,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,7d450ed3,c1e40422,a2c54ed9
Nico Schlotterbeck,15.0,CB,26-195,90,1,0,0,0,2,2,0,0,2,1,0,0,1,3,0,0,0,34e12499,c1e40422,a2c54ed9
Jonathan Tah,4.0,CB,30-123,72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,bd142efb,c1e40422,a2c54ed9
Antonio Rüdiger,2.0,DF,33-103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18b896d6,c1e40422,a2c54ed9
Joshua Kimmich,6.0,RB,31-126,82,0,2,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,49296448,c1e40422,a2c54ed9
Waldemar Anton,3.0,"DF,MF",29-329,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5e66fa06,c1e40422,a2c54ed9
Manuel Neuer,1.0,GK,40-079,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8778c910,c1e40422,a2c54ed9
Sontje Hansen,12.0,FW,24-027,45,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70bad10b,e0f5893a,a2c54ed9
Jeremy Antonisse,11.0,"FW,MF",24-077,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6011e63a,e0f5893a,a2c54ed9
Jürgen Locadia,9.0,FW,32-219,64,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6cc47ae1,e0f5893a,a2c54ed9
Jearl Margaritha,16.0,"FW,MF",26-065,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,be915a68,e0f5893a,a2c54ed9
Tahith Chong,21.0,AM,26-192,82,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,2696b6a9,e0f5893a,a2c54ed9
Gervane Kastaneer,19.0,"FW,MF",30-005,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0c142e14,e0f5893a,a2c54ed9
Juninho Bacuna,7.0,DM,28-311,90,0,0,0,0,1,0,0,0,2,2,0,1,2,5,0,0,0,aaf1bf05,e0f5893a,a2c54ed9
Leandro Bacuna,10.0,DM,34-297,90,0,0,0,0,2,0,0,0,1,2,0,2,1,0,0,0,0,9dc69d38,e0f5893a,a2c54ed9
Livano Comenencia,8.0,DM,22-131,90,1,0,0,0,2,1,0,0,1,1,0,1,0,4,0,0,0,c9d96dc1,e0f5893a,a2c54ed9
Deveron Fonville,24.0,LB,23-029,90,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,21932982,e0f5893a,a2c54ed9
Armando Obispo,18.0,CB,27-101,90,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2ffa6348,e0f5893a,a2c54ed9
Riechedly Bazoer,23.0,CB,29-245,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,da59a197,e0f5893a,a2c54ed9
Sherel Floranus,5.0,RB,27-295,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,5ad49fbb,e0f5893a,a2c54ed9
Eloy Room,1.0,GK,37-128,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6b33d86b,e0f5893a,a2c54ed9
